base_protein,ligand_name,meeko,mgl_tools
Orai1WT-MDSnap-Fr499_cleaned,4SO_ideal,-6.714,-6.944
Orai1WT-MDSnap-Fr499_cleaned,505_ideal,-6.731,-6.244
Orai1WT-MDSnap-Fr499_cleaned,521_ideal,-7.973,-7.961
Orai1WT-MDSnap-Fr499_cleaned,566_ideal,-8.631,-8.877
Orai1WT-MDSnap-Fr499_cleaned,572_ideal,-7.214,-7.044
Orai1WT-MDSnap-Fr499_cleaned,5AN_ideal,-6.294,-6.317
Orai1WT-MDSnap-Fr499_cleaned,5B3_ideal,-10.144,-9.432
Orai1WT-MDSnap-Fr499_cleaned,641_ideal,-8.563,-8.569
Orai1WT-MDSnap-Fr499_cleaned,6BD_ideal,-8.673,-7.976
Orai1WT-MDSnap-Fr499_cleaned,6LH_ideal,-6.386,-6.502
Orai1WT-MDSnap-Fr499_cleaned,6LR_ideal,-4.509,-4.529
Orai1WT-MDSnap-Fr499_cleaned,6WT_ideal,-9.204,-9.255
Orai1WT-MDSnap-Fr499_cleaned,787_ideal,-7.299,-6.954
Orai1WT-MDSnap-Fr499_cleaned,791_ideal,-6.474,-6.339
Orai1WT-MDSnap-Fr499_cleaned,7BD_ideal,-8.466,-7.411
Orai1WT-MDSnap-Fr499_cleaned,7N8_ideal,-7.152,-7.014
Orai1WT-MDSnap-Fr499_cleaned,7TI_ideal,-7.574,-7.585
Orai1WT-MDSnap-Fr499_cleaned,80G_ideal,-7.187,-7.336
Orai1WT-MDSnap-Fr499_cleaned,911_ideal,-5.995,-6.33
Orai1WT-MDSnap-Fr499_cleaned,92G_ideal,-6.743,-6.713
Orai1WT-MDSnap-Fr499_cleaned,949_ideal,-8.628,-8.879
Orai1WT-MDSnap-Fr499_cleaned,9CA_ideal,-8.018,-8.036
Orai1WT-MDSnap-Fr499_cleaned,9Y6_ideal,-6.357,-6.464
Orai1WT-MDSnap-Fr499_cleaned,A1AIA_ideal,-7.614,-7.619
Orai1WT-MDSnap-Fr499_cleaned,A1AIK_ideal,-9.113,-8.685
Orai1WT-MDSnap-Fr499_cleaned,A1AT0_ideal,-9.139,-9.158
Orai1WT-MDSnap-Fr499_cleaned,A1CR0_ideal,-8.425,-7.752
Orai1WT-MDSnap-Fr499_cleaned,A1EEY_ideal,-7.039,-6.966
Orai1WT-MDSnap-Fr499_cleaned,A1IPI_ideal,-5.662,-5.73
