base_protein,ligand_name,rmsd,meeko_affinity,mgl_affinity,n_atoms_meeko,n_atoms_mgl
Orai1WT-MDSnap-Fr400_cleaned,949_ideal,0.09607476255500198,-9.244,-9.221,25,25
Orai1WT-MDSnap-Fr400_cleaned,9CA_ideal,0.054563301276167986,-7.651,-7.66,13,13
Orai1WT-MDSnap-Fr400_cleaned,9Y6_ideal,19.99086027413528,-6.974,-6.466,10,10
Orai1WT-MDSnap-Fr400_cleaned,A1AIA_ideal,0.06470027047856894,-8.079,-8.09,16,16
Orai1WT-MDSnap-Fr400_cleaned,A1AIK_ideal,50.231856680705214,-8.16,-8.601,22,22
Orai1WT-MDSnap-Fr400_cleaned,A1AT0_ideal,31.277491706034436,-8.082,-7.871,19,19
Orai1WT-MDSnap-Fr400_cleaned,A1CR0_ideal,0.050931326312987184,-8.173,-8.184,21,21
Orai1WT-MDSnap-Fr400_cleaned,A1EEY_ideal,0.8926703165881831,-7.04,-7.025,17,17
Orai1WT-MDSnap-Fr400_cleaned,A1IPI_ideal,1.620113267645198,-5.714,-5.716,12,12
Orai1WT-MDSnap-Fr499_cleaned,007_ideal,0.06289307164973294,-7.604,-7.586,13,13
Orai1WT-MDSnap-Fr499_cleaned,010_ideal,3.3365739539233954,-6.468,-6.203,8,8
Orai1WT-MDSnap-Fr499_cleaned,08D_ideal,15.695500554205298,-7.422,-7.477,17,17
Orai1WT-MDSnap-Fr499_cleaned,0A9_ideal,28.200787873609272,-5.972,-6.351,13,13
Orai1WT-MDSnap-Fr499_cleaned,13X_ideal,0.029612309752683592,-6.041,-6.035,9,9
Orai1WT-MDSnap-Fr499_cleaned,144_ideal,46.01197849745216,-4.009,-3.994,8,8
Orai1WT-MDSnap-Fr499_cleaned,150_ideal,0.12828522907957882,-6.259,-6.282,10,10
Orai1WT-MDSnap-Fr499_cleaned,152_ideal,16.601840319675407,-4.652,-4.813,11,11
Orai1WT-MDSnap-Fr499_cleaned,171_ideal,43.53978957936504,-5.988,-6.107,13,13
Orai1WT-MDSnap-Fr499_cleaned,173_ideal,16.677205502230773,-6.298,-6.411,11,11
